"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2884840","Oleksii  Kononenko and Olga  Baysal and Michael W. Godfrey","","","","Code Review Quality: How Developers See It","1028--1038","","11","code review, developer perception, review quality, survey","10.1145/2884781.2884840","","","","","","","2016","","Proceedings of the 38th International Conference on Software Engineering","ICSE '16","","978-1-4503-3900-1","Austin, Texas","ACM","New York, NY, USA"
"article","2393656","Yida  Tao and Yingnong  Dang and Tao  Xie and Dongmei  Zhang and Sunghun  Kim","","","","How Do Software Engineers Understand Code Changes?: An Exploratory Study in Industry","51:1--51:11","51","11","code change, code review, information needs, tool support","10.1145/2393596.2393656","","","","","","","2012","","Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering","FSE '12","","978-1-4503-1614-9","Cary, North Carolina","ACM","New York, NY, USA"
"article","512040","Tomoko  Matsumura and Akito  Monden and Ken-ichi  Matsumoto","","","","A Method for Detecting Faulty Code Violating Implicit Coding Rules","15--21","","7","code inspection, fault report, legacy software, pattern matching, software maintenance","10.1145/512035.512040","","","","","","","2002","","Proceedings of the International Workshop on Principles of Software Evolution","IWPSE '02","","1-58113-545-9","Orlando, Florida","ACM","New York, NY, USA"
"article","99353","L.  Brothers and V.  Sembugamoorthy and M.  Muller","","","","ICICLE: Groupware for Code Inspection","169--181","","13","","10.1145/99332.99353","","","","","","","1990","","Proceedings of the 1990 ACM Conference on Computer-supported Cooperative Work","CSCW '90","","0-89791-402-3","Los Angeles, California, USA","ACM","New York, NY, USA"
"article","3275424","Davide  Spadini","","","","Practices and Tools for Better Software Testing","928--931","","4","automated testing, code review, coupling, mocking, software testing","10.1145/3236024.3275424","","","","","","","2018","","Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","ESEC/FSE 2018","","978-1-4503-5573-5","Lake Buena Vista, FL, USA","ACM","New York, NY, USA"
"article","1152767","Richard  Priest and Beryl  Plimmer","","","","RCA: Experiences with an IDE Annotation Tool","53--60","","8","code review support, ink annotation, pen-base interaction","10.1145/1152760.1152767","","","","","","","2006","","Proceedings of the 7th ACM SIGCHI New Zealand Chapter's International Conference on Computer-human Interaction: Design Centered HCI","CHINZ '06","","1-59593-473-1","Christchurch, New Zealand","ACM","New York, NY, USA"
"article","3183411","Vasiliki  Efstathiou and Diomidis  Spinellis","","","","Code Review Comments: Language Matters","69--72","","4","code review, collaborative software development, lexical semantics, natural language processing","10.1145/3183399.3183411","","","","","","","2018","","Proceedings of the 40th International Conference on Software Engineering: New Ideas and Emerging Results","ICSE-NIER '18","","978-1-4503-5662-6","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3131725","Zhixing  Li and Gang  Yin and Yue  Yu and Tao  Wang and Huaimin  Wang","","","","Detecting Duplicate Pull-requests in GitHub","20:1--20:6","20","6","Pull-request, code review, duplicate detection, textual similarity","10.1145/3131704.3131725","","","","","","","2017","","Proceedings of the 9th Asia-Pacific Symposium on Internetware","Internetware'17","","978-1-4503-5313-7","Shanghai, China","ACM","New York, NY, USA"
"article","2663658","Sebastian  M&#252;ller and Michael  W&#252;rsch and Thomas  Fritz and Harald C. Gall","","","","An Approach for Collaborative Code Reviews Using Multi-touch Technology","93--99","","7","code review, code smell, collaboration, gesture, multi-touch, software metrics","","","","","","","","2012","","Proceedings of the 5th International Workshop on Co-operative and Human Aspects of Software Engineering","CHASE '12","","978-1-4673-1824-2","Zurich, Switzerland","IEEE Press","Piscataway, NJ, USA"
"article","1117357","Hidetake  Uwano and Masahide  Nakamura and Akito  Monden and Ken-ichi  Matsumoto","","","","Analyzing Individual Performance of Source Code Review Using Reviewers' Eye Movement","133--140","","8","computer program, eye movement, human factor, source code review","10.1145/1117309.1117357","","","","","","","2006","","Proceedings of the 2006 Symposium on Eye Tracking Research &Amp; Applications","ETRA '06","","1-59593-305-0","San Diego, California","ACM","New York, NY, USA"
